ST_RW_LOOKUP_KEY,RW,,,,,
110000000001,0,,,,,
110000000002,20,,,,,
110000000003,50,,,,,
110000000004,100,,,,,
110000000005,100,,,,,
110000000006,150,,,,,
200000000001,20,,,,,
200000000002,50,,,,,
200000000003,100,,,,,
200000000004,100,,,,,
200000000005,100,,,,,
200000000006,150,,,,,
210000000001,20,,,,,
210000000002,52,,,,,
210000000003,52,,,,,
210000000004,100,,,,,
210000000005,100,,,,,
210000000006,150,,,,,
300000000001,20,,,,,
300000000002,50,,,,,
300000000003,100,,,,,
300000000004,100,,,,,
300000000005,100,,,,,
300000000006,150,,,,,
310000000001,20,,,,,
310000000002,50,,,,,
310000000003,50,,,,,
310000000004,100,,,,,
310000000005,100,,,,,
310000000006,150,,,,,
400000000001,50,,,,,
400000000002,50,,,,,
400000000003,50,,,,,
400000000004,50,,,,,
400000000005,50,,,,,
400000000006,50,,,,,
410000000001,20,,,,,
410000000002,50,,,,,
410000000003,50,,,,,
410000000004,100,,,,,
410000000005,100,,,,,
410000000006,150,,,,,
500000000000,0,,,,,
510000000001,0,,,,,
510000000002,0,,,,,
510000000003,0,,,,,
510000000004,0,,,,,
510000000005,0,,,,,
510000000006,0,,,,,
610000000001,20,,,,,
610000000002,30,,,,,
610000000003,50,,,,,
610000000004,100,,,,,
610000000005,100,,,,,
610000000006,150,,,,,
1411000000001,20,,,,,
1411000000002,50,,,,,
1411000000003,100,,,,,
1411000000004,150,,,,,
1411000000005,150,,,,,
1411000000006,150,,,,,
612000000001,20,,,,,
612000000002,20,,,,,
612000000003,20,,,,,
612000000004,50,,,,,
612000000005,50,,,,,
612000000006,100,,,,,
600000000007,40,,,,,
600000000008,75,,,,,
600000000009,150,,,,,
602000000007,20,,,,,
602000000008,50,,,,,
602000000009,75,,,,,
710000000001,20,,,,,
710000000002,50,,,,,
710000000003,75,,,,,
710000000004,100,,,,,
710000000005,150,,,,,
710000000006,150,,,,,
700000000000,100,,,,,
1210000000001,10,,,,,
1210000000002,20,,,,,
1210000000003,20,,,,,
1210000000004,50,,,,,
1210000000005,80,,,,,
1210000000006,100,,,,,
1200000000000,100,,,,,
800000000000,100,,,,,
800100000000,45,,,,,
800200000000,75,,,,,
800300000000,35,,,,,
900000000000,75,,,,,
900011000000,150,,,,,
900011001000,150,,,,,
900010001000,150,,,,,
900010000000,85,,,,,
900001000000,150,,,,,
900001100000,30,,,,,
900001200000,35,,,,,
900001300000,45,,,,,
900001400000,60,,,,,
900001500000,75,,,,,
900001600000,105,,,,,
900001010000,100,,,,,
900000010000,75,,,,,
900010010000,85,,,,,
900001001000,150,,,,,
900000001000,150,,,,,
1000000000100,150,,,,,
1000000000200,100,,,,,
1000000000300,100,,,,,
1100000000000,150,,,,,
1300000000000,,,,,,
1500000000000,,,,,,
1600000000000,250,,,,,
1600000000010,1250,,,,,
1600000000020,1250,,,,,
1600000000030,250,,,,,
1600000000040,400,,,,,
1600000000050,150,,,,,
1700000000000,0,,,,,
1700000000001,100,,,,,
1700000000002,20,,,,,